PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Email
68,0,3,"Crease, Mr. Ernest James",male,19,0,0,S.P. 3464,8.1583,,S,6869@gmail.com
69,1,3,"Andersson, Miss. Erna Alexandra",female,17,4,2,3101281,7.925,,S,6970@gmail.com
70,0,3,"Kink, Mr. Vincenz",male,26,2,0,315151,8.6625,,S,7071@gmail.com
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32,0,0,C.A. 33111,10.5,,S,7172@gmail.com
72,0,3,"Goodwin, Miss. Lillian Amy",female,16,5,2,CA 2144,46.9,,S,7273@gmail.com
73,0,2,"Hood, Mr. Ambrose Jr",male,21,0,0,S.O.C. 14879,73.5,,S,7374@gmail.com
74,0,3,"Chronopoulos, Mr. Apostolos",male,26,1,0,2680,14.4542,,C,7475@gmail.com
75,1,3,"Bing, Mr. Lee",male,32,0,0,1601,56.4958,,S,7576@gmail.com
76,0,3,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,7.65,F G73,S,7677@gmail.com
77,0,3,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S,7778@gmail.com
78,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S,7879@gmail.com
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29,,S,7980@gmail.com
80,1,3,"Dowdell, Miss. Elizabeth",female,30,0,0,364516,12.475,,S,8081@gmail.com
81,0,3,"Waelens, Mr. Achille",male,22,0,0,345767,9,,S,8182@gmail.com
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29,0,0,345779,9.5,,S,8283@gmail.com
83,1,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q,8384@gmail.com
84,0,1,"Carrau, Mr. Francisco M",male,28,0,0,113059,47.1,,S,8485@gmail.com
85,1,2,"Ilett, Miss. Bertha",female,17,0,0,SO/C 14885,10.5,,S,8586@gmail.com
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0,3101278,15.85,,S,8687@gmail.com
87,0,3,"Ford, Mr. William Neal",male,16,1,3,W./C. 6608,34.375,,S,8788@gmail.com
88,0,3,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S,8889@gmail.com
89,1,1,"Fortune, Miss. Mabel Helen",female,23,3,2,19950,263,C23 C25 C27,S,8990@gmail.com
90,0,3,"Celotti, Mr. Francesco",male,24,0,0,343275,8.05,,S,9091@gmail.com
91,0,3,"Christmann, Mr. Emil",male,29,0,0,343276,8.05,,S,9192@gmail.com
92,0,3,"Andreasson, Mr. Paul Edvin",male,20,0,0,347466,7.8542,,S,9293@gmail.com
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46,1,0,W.E.P. 5734,61.175,E31,S,9394@gmail.com
94,0,3,"Dean, Mr. Bertram Frank",male,26,1,2,C.A. 2315,20.575,,S,9495@gmail.com
95,0,3,"Coxon, Mr. Daniel",male,59,0,0,364500,7.25,,S,9596@gmail.com
96,0,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S,9697@gmail.com
97,0,1,"Goldschmidt, Mr. George B",,71,0,0,PC 17754,34.6542,A5,C,9798@gmail.com
98,1,1,"Greenfield, Mr. William Bertram",,23,0,1,PC 17759,63.3583,D10 D12,C,9899@gmail.com
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34,0,1,231919,23,,S,99100@gmail.com
100,0,2,"Kantor, Mr. Sinai",male,34,1,0,244367,26,,S,100101@gmail.com
101,0,3,"Petranec, Miss. Matilda",female,28,0,0,349245,7.8958,,S,101102@gmail.com
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S,102103@gmail.com
103,0,1,"White, Mr. Richard Frasar",male,21,0,1,35281,77.2875,D26,S,103104@gmail.com
104,0,3,"Johansson, Mr. Gustaf Joel",male,33,0,0,7540,8.6542,,S,104105@gmail.com
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0,3101276,7.925,,S,105106@gmail.com
106,0,3,"Mionoff, Mr. Stoytcho",male,28,0,0,349207,7.8958,,S,106107@gmail.com
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,343120,7.65,,S,107108@gmail.com
108,1,3,"Moss, Mr. Albert Johan",male,,0,0,312991,7.775,,S,108109@gmail.com
109,0,3,"Rekic, Mr. Tido",male,38,0,0,349249,7.8958,,S,109110@gmail.com
110,1,3,"Moran, Miss. Bertha",female,,1,0,371110,24.15,,Q,110111@gmail.com
111,0,1,"Porter, Mr. Walter Chamberlain",male,47,0,0,110465,52,C110,S,111112@gmail.com
112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C,112113@gmail.com
113,0,3,"Barton, Mr. David John",male,22,0,0,324669,8.05,,S,113114@gmail.com
114,0,3,"Jussila, Miss. Katriina",female,20,1,0,4136,9.825,,S,114115@gmail.com
115,0,3,"Attalah, Miss. Malake",female,17,0,0,2627,14.4583,,C,115116@gmail.com
116,0,3,"Pekoniemi, Mr. Edvard",male,21,0,0,STON/O 2. 3101294,7.925,,S,116117@gmail.com
117,0,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,,Q,117118@gmail.com
118,0,2,"Turpin, Mr. William John Robert",male,29,1,0,11668,21,,S,118119@gmail.com
119,0,1,"Baxter, Mr. Quigg Edmond",male,24,0,1,PC 17558,247.5208,B58 B60,C,119120@gmail.com
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2,4,2,347082,31.275,,S,120121@gmail.com
121,0,2,"Hickman, Mr. Stanley George",male,21,2,0,S.O.C. 14879,73.5,,S,121122@gmail.com
122,0,3,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,8.05,,S,122123@gmail.com
123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,,C,123124@gmail.com
124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13,E101,S,124125@gmail.com
125,0,1,"White, Mr. Percival Wayland",male,54,0,1,35281,77.2875,D26,S,125126@gmail.com
126,1,3,"Nicola-Yarred, Master. Elias",male,12,1,0,2651,11.2417,,C,126127@gmail.com
127,0,3,"McMahon, Mr. Martin",male,,0,0,370372,7.75,,Q,127128@gmail.com
128,1,3,"Madsen, Mr. Fridtjof Arne",male,24,0,0,C 17369,7.1417,,S,128129@gmail.com
129,1,3,"Peter, Miss. Anna",female,,1,1,2668,22.3583,F E69,C,129130@gmail.com
130,0,3,"Ekstrom, Mr. Johan",male,45,0,0,347061,6.975,,S,130131@gmail.com
131,0,3,"Drazenoic, Mr. Jozef",male,33,0,0,349241,7.8958,,C,131132@gmail.com
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20,0,0,SOTON/O.Q. 3101307,7.05,,S,132133@gmail.com
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0,A/5. 3337,14.5,,S,133134@gmail.com
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,0,228414,26,,S,134135@gmail.com
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25,0,0,C.A. 29178,13,,S,135136@gmail.com
136,0,2,"Richard, Mr. Emile",male,23,0,0,SC/PARIS 2133,15.0458,,C,136137@gmail.com
137,1,1,"Newsom, Miss. Helen Monypeny",female,19,0,2,11752,26.2833,D47,S,137138@gmail.com
138,0,1,"Futrelle, Mr. Jacques Heath",male,37,1,0,113803,53.1,C123,S,138139@gmail.com
139,0,3,"Osen, Mr. Olaf Elon",male,16,0,0,7534,9.2167,,S,139140@gmail.com
140,0,1,"Giglio, Mr. Victor",male,24,0,0,PC 17593,79.2,B86,C,140141@gmail.com
141,0,3,"Boulos, Mrs. Joseph (Sultana)",,,0,2,2678,15.2458,,C,141142@gmail.com
142,1,3,"Nysten, Miss. Anna Sofia",female,22,0,0,347081,7.75,,S,142143@gmail.com
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0,STON/O2. 3101279,15.85,,S,143144@gmail.com
144,0,3,"Burke, Mr. Jeremiah",male,19,0,0,365222,6.75,,Q,144145@gmail.com
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18,0,0,231945,11.5,,S,145146@gmail.com
146,0,2,"Nicholls, Mr. Joseph Charles",male,19,1,1,C.A. 33112,36.75,,S,146147@gmail.com
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,0,0,350043,7.7958,,S,147148@gmail.com
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,2,W./C. 6608,34.375,,S,148149@gmail.com
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26,F2,S,149150@gmail.com
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42,0,0,244310,13,,S,150151@gmail.com
151,0,2,"Bateman, Rev. Robert James",male,51,0,0,S.O.P. 1166,12.525,,S,151152@gmail.com
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,113776,66.6,C2,S,152153@gmail.com
153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,,S,153154@gmail.com
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,,S,154155@gmail.com
155,0,3,"Olsen, Mr. Ole Martin",,,0,0,Fa 265302,7.3125,,S,155156@gmail.com
156,0,1,"Williams, Mr. Charles Duane",male,51,0,1,PC 17597,61.3792,,C,156157@gmail.com
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,0,35851,7.7333,,Q,157158@gmail.com
158,0,3,"Corn, Mr. Harry",male,30,0,0,SOTON/OQ 392090,8.05,,S,158159@gmail.com
159,0,3,"Smiljanic, Mr. Mile",male,,0,0,315037,8.6625,,S,159160@gmail.com
160,0,3,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343,69.55,,S,160161@gmail.com
161,0,3,"Cribb, Mr. John Hatfield",male,44,0,1,371362,16.1,,S,161162@gmail.com
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,0,0,C.A. 33595,15.75,,S,162163@gmail.com
163,0,3,"Bengtsson, Mr. John Viktor",male,26,0,0,347068,7.775,,S,163164@gmail.com
164,0,3,"Calic, Mr. Jovo",male,17,0,0,315093,8.6625,,S,164165@gmail.com
165,0,3,"Panula, Master. Eino Viljami",male,1,4,1,3101295,39.6875,,S,165166@gmail.com
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9,0,2,363291,20.525,,S,166167@gmail.com
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1,113505,55,E33,S,167168@gmail.com
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,4,347088,27.9,,S,168169@gmail.com
169,0,1,"Baumann, Mr. John D",male,,0,0,PC 17318,25.925,,S,169170@gmail.com
170,0,3,"Ling, Mr. Lee",male,28,0,0,1601,56.4958,,S,170171@gmail.com
171,0,1,"Van der hoef, Mr. Wyckoff",male,61,0,0,111240,33.5,B19,S,171172@gmail.com
172,0,3,"Rice, Master. Arthur",male,4,4,1,382652,29.125,,Q,172173@gmail.com
173,1,3,"Johnson, Miss. Eleanor Ileen",,1,1,1,347742,11.1333,,S,173174@gmail.com
174,0,3,"Sivola, Mr. Antti Wilhelm",male,21,0,0,STON/O 2. 3101280,7.925,,S,174175@gmail.com
175,0,1,"Smith, Mr. James Clinch",male,56,0,0,17764,30.6958,A7,C,175176@gmail.com
176,0,3,"Klasen, Mr. Klas Albin",male,18,1,1,350404,7.8542,,S,176177@gmail.com
177,0,3,"Lefebre, Master. Henry Forbes",male,,3,1,4133,25.4667,,S,177178@gmail.com
178,0,1,"Isham, Miss. Ann Elizabeth",female,50,0,0,PC 17595,28.7125,C49,C,178179@gmail.com
179,0,2,"Hale, Mr. Reginald",male,30,0,0,250653,13,,S,179180@gmail.com
180,0,3,"Leonard, Mr. Lionel",male,36,0,0,LINE,0,,S,180181@gmail.com
181,0,3,"Sage, Miss. Constance Gladys",female,,8,2,CA. 2343,69.55,,S,181182@gmail.com
182,0,2,"Pernot, Mr. Rene",male,,0,0,SC/PARIS 2131,15.05,,C,182183@gmail.com
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2,347077,31.3875,,S,183184@gmail.com
184,1,2,"Becker, Master. Richard F",male,1,2,1,230136,39,F4,S,184185@gmail.com
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4,0,2,315153,22.025,,S,185186@gmail.com
186,0,1,"Rood, Mr. Hugh Roscoe",male,,0,0,113767,50,A32,S,186187@gmail.com
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1,0,370365,15.5,,Q,187188@gmail.com
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,0,0,111428,26.55,,S,188189@gmail.com
189,0,3,"Bourke, Mr. John",male,40,1,1,364849,15.5,,Q,189190@gmail.com
190,0,3,"Turcin, Mr. Stjepan",male,36,0,0,349247,7.8958,,S,190191@gmail.com
191,1,2,"Pinsky, Mrs. (Rosa)",female,32,0,0,234604,13,,S,191192@gmail.com
192,0,2,"Carbines, Mr. William",male,19,0,0,28424,13,,S,192193@gmail.com
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,1,0,350046,7.8542,,S,193194@gmail.com
194,1,2,"Navratil, Master. Michel M",male,3,1,1,230080,26,F2,S,194195@gmail.com
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,0,PC 17610,27.7208,B4,C,195196@gmail.com
196,1,1,"Lurette, Miss. Elise",female,58,0,0,PC 17569,146.5208,B80,C,196197@gmail.com
197,0,3,"Mernagh, Mr. Robert",male,,0,0,368703,7.75,,Q,197198@gmail.com
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,1,4579,8.4042,,S,198199@gmail.com
199,1,3,"Madigan, Miss. Margaret ""Maggie""",female,,0,0,370370,7.75,,Q,199200@gmail.com
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,0,0,248747,13,,S,200201@gmail.com
201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28,0,0,345770,9.5,,S,201202@gmail.com
202,0,3,"Sage, Mr. Frederick",male,,8,2,CA. 2343,69.55,,S,202203@gmail.com
203,0,3,"Johanson, Mr. Jakob Alfred",male,34,0,0,3101264,6.4958,,S,203204@gmail.com
204,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,,C,204205@gmail.com
205,1,3,"Cohen, Mr. Gurshon ""Gus""",male,18,0,0,A/5 3540,8.05,,S,205206@gmail.com
206,0,3,"Strom, Miss. Telma Matilda",female,2,0,1,347054,10.4625,G6,S,206207@gmail.com
207,0,3,"Backstrom, Mr. Karl Alfred",male,32,1,0,3101278,15.85,,S,207208@gmail.com
208,1,3,"Albimona, Mr. Nassef Cassem",male,26,0,0,2699,18.7875,,C,208209@gmail.com
186,0,1,"Rood, Mr. Hugh Roscoe",male,,0,0,113767,50,A32,S,186187@gmail.com
210,1,1,"Blank, Mr. Henry",male,40,0,0,112277,31,A31,C,210211@gmail.com
211,0,3,"Ali, Mr. Ahmed",male,24,0,0,SOTON/O.Q. 3101311,7.05,,S,211212@gmail.com
212,1,2,"Cameron, Miss. Clear Annie",female,35,0,0,F.C.C. 13528,21,,S,212213@gmail.com
213,0,3,"Perkin, Mr. John Henry",male,22,0,0,A/5 21174,7.25,,S,213214@gmail.com
214,0,2,"Givard, Mr. Hans Kristensen",male,30,0,0,250646,13,,S,214215@gmail.com
215,0,3,"Kiernan, Mr. Philip",male,,1,0,367229,7.75,,Q,215216@gmail.com
216,1,1,"Newell, Miss. Madeleine",female,31,1,0,35273,113.275,D36,C,216217@gmail.com
217,1,3,"Honkanen, Miss. Eliina",female,27,0,0,STON/O2. 3101283,7.925,,S,217218@gmail.com
218,0,2,"Jacobsohn, Mr. Sidney Samuel",male,42,1,0,243847,27,,S,218219@gmail.com
219,1,1,"Bazzani, Miss. Albina",female,32,0,0,11813,76.2917,D15,C,219220@gmail.com
220,0,2,"Harris, Mr. Walter",male,30,0,0,W/C 14208,10.5,,S,220221@gmail.com
221,1,3,"Sunderland, Mr. Victor Francis",male,16,0,0,SOTON/OQ 392089,8.05,,S,221222@gmail.com
222,0,2,"Bracken, Mr. James H",male,27,0,0,220367,13,,S,222223@gmail.com
223,0,3,"Green, Mr. George Henry",male,51,0,0,21440,,,S,223224@gmail.com
224,0,3,"Nenkoff, Mr. Christo",male,,0,0,349234,7.8958,,S,224225@gmail.com
225,1,1,"Hoyt, Mr. Frederick Maxfield",,38,1,0,,90,C93,S,225226@gmail.com
226,0,3,"Berglund, Mr. Karl Ivar Sven",male,22,0,0,PP 4348,9.35,,S,226227@gmail.com
227,1,2,"Mellors, Mr. William John",male,19,0,0,SW/PP 751,10.5,,S,227228@gmail.com
228,0,3,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,A/5 21173,7.25,,S,228229@gmail.com
229,0,2,"Fahlstrom, Mr. Arne Jonas",male,18,0,0,236171,13,,S,229230@gmail.com
230,0,3,"Lefebre, Miss. Mathilde",female,,3,1,,25.4667,,S,230231@gmail.com
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0,36973,83.475,C83,S,231232@gmail.com
232,0,3,"Larsson, Mr. Bengt Edvin",male,29,0,0,347067,7.775,,S,232233@gmail.com
233,0,2,"Sjostedt, Mr. Ernst Adolf",male,59,0,0,237442,13.5,,S,233234@gmail.com
234,1,3,"Asplund, Miss. Lillian Gertrud",female,5,4,2,347077,,,S,234235@gmail.com
235,0,2,"Leyson, Mr. Robert William Norman",male,24,0,0,C.A. 29566,10.5,,S,235236@gmail.com
236,0,3,"Harknett, Miss. Alice Phoebe",female,,0,0,W./C. 6609,7.55,,S,236237@gmail.com
237,0,2,"Hold, Mr. Stephen",male,44,1,0,26707,26,,S,237238@gmail.com
238,1,2,"Collyer, Miss. Marjorie ""Lottie""",female,8,0,2,C.A. 31921,26.25,,S,238239@gmail.com
239,0,2,"Pengelly, Mr. Frederick William",male,19,0,0,28665,10.5,,S,239240@gmail.com
240,0,2,,male,33,0,0,SCO/W 1585,12.275,,S,240241@gmail.com
241,0,3,"Zabour, Miss. Thamine",female,,1,0,2665,14.4542,,C,241242@gmail.com
242,1,3,"Murphy, Miss. Katherine ""Kate""",female,,1,0,367230,15.5,,Q,242243@gmail.com
243,0,2,"Coleridge, Mr. Reginald Charles",male,29,0,0,W./C. 14263,10.5,,S,243244@gmail.com
244,0,3,"Maenpaa, Mr. Matti Alexanteri",male,22,0,0,STON/O 2. 3101275,7.125,,S,244245@gmail.com
245,0,3,"Attalah, Mr. Sleiman",male,30,0,0,2694,7.225,,C,245246@gmail.com
246,0,1,"Minahan, Dr. William Edward",male,44,2,0,19928,90,C78,Q,246247@gmail.com
247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,0,0,347071,7.775,,S,247248@gmail.com
248,1,2,"Hamalainen, Mrs. William (Anna)",female,24,0,2,250649,14.5,,S,248249@gmail.com
249,1,1,"Beckwith, Mr. Richard Leonard",male,37,1,1,11751,,D35,S,249250@gmail.com
250,0,2,"Carter, Rev. Ernest Courtenay",male,54,1,0,244252,26,,S,250251@gmail.com
251,0,3,"Reed, Mr. James George",male,,0,0,362316,7.25,,S,251252@gmail.com
252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,1,347054,10.4625,G6,S,252253@gmail.com
253,0,1,"Stead, Mr. William Thomas",male,62,0,0,113514,26.55,C87,S,253254@gmail.com
254,0,3,"Lobb, Mr. William Arthur",male,30,1,0,A/5. 3336,16.1,,S,254255@gmail.com
255,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,0,2,370129,20.2125,,S,255256@gmail.com
256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,0,2,2650,15.2458,,C,256257@gmail.com
257,1,1,"Thorne, Mrs. Gertrude Maybelle",female,,0,0,PC 17585,79.2,,C,257258@gmail.com
258,1,1,"Cherry, Miss. Gladys",female,30,0,0,110152,86.5,B77,S,258259@gmail.com
259,1,1,"Ward, Miss. Anna",female,35,0,0,PC 17755,512.3292,,C,259260@gmail.com
260,1,2,"Parrish, Mrs. (Lutie Davis)",female,50,0,1,230433,26,,S,260261@gmail.com
